Country;Currency;Code;Number
AFGHANISTAN;Afghani;AFN;971
ALBANIA;Lek;ALL;008
ALGERIA;Algerian Dinar;DZD;012
AMERICAN SAMOA;US Dollar;USD;840
ANDORRA;Euro;EUR;978
ANGOLA;Kwanza;AOA;973
ANGUILLA;East Caribbean Dollar;XCD;951
ANTARCTICA;No universal currency;	
ANTIGUA AND BARBUDA;East Caribbean Dollar;XCD;951
ARGENTINA;Argentine Peso;ARS;032
ARMENIA;Armenian Dram;AMD;051
ARUBA;Aruban Florin;AWG;533
AUSTRALIA;Australian Dollar;AUD;036
AUSTRIA;Euro;EUR;978
AZERBAIJAN;Azerbaijanian Manat;AZN;944
BAHAMAS (THE);Bahamian Dollar;BSD;044
BAHRAIN;Bahraini Dinar;BHD;048
BANGLADESH;Taka;BDT;050
BARBADOS;Barbados Dollar;BBD;052
BELARUS;Belarussian Ruble;BYR;974
BELGIUM;Euro;EUR;978
BELIZE;Belize Dollar;BZD;084
BENIN;CFA Franc BCEAO;XOF;952
BERMUDA;Bermudian Dollar;BMD;060
BHUTAN;Ngultrum;BTN;064
BHUTAN;Indian Rupee;INR;356
BOLIVIA (PLURINATIONAL STATE OF);Boliviano;BOB;068
BOLIVIA (PLURINATIONAL STATE OF);Mvdol;BOV;984
BONAIRE, SINT EUSTATIUS AND SABA;US Dollar;USD;840
BOSNIA AND HERZEGOVINA;Convertible Mark;BAM;977
BOTSWANA;Pula;BWP;072
BOUVET ISLAND;Norwegian Krone;NOK;578
BRAZIL;Brazilian Real;BRL;986
BRITISH INDIAN OCEAN TERRITORY (THE);US Dollar;USD;840
BRUNEI DARUSSALAM;Brunei Dollar;BND;096
BULGARIA;Bulgarian Lev;BGN;975
BURKINA FASO;CFA Franc BCEAO;XOF;952
BURUNDI;Burundi Franc;BIF;108
CABO VERDE;Cabo Verde Escudo;CVE;132
CAMBODIA;Riel;KHR;116
CAMEROON;CFA Franc BEAC;XAF;950
CANADA;Canadian Dollar;CAD;124
CAYMAN ISLANDS (THE);Cayman Islands Dollar;KYD;136
CENTRAL AFRICAN REPUBLIC (THE);CFA Franc BEAC;XAF;950
CHAD;CFA Franc BEAC;XAF;950
CHILE;Unidad de Fomento;CLF;990
CHILE;Chilean Peso;CLP;152
CHINA;Yuan Renminbi;CNY;156
CHRISTMAS ISLAND;Australian Dollar;AUD;036
COCOS (KEELING) ISLANDS (THE);Australian Dollar;AUD;036
COLOMBIA;Colombian Peso;COP;170
COLOMBIA;Unidad de Valor Real;COU;970
COMOROS (THE);Comoro Franc;KMF;174
CONGO (THE DEMOCRATIC REPUBLIC OF THE);Congolese Franc;CDF;976
CONGO (THE);CFA Franc BEAC;XAF;950
COOK ISLANDS (THE);New Zealand Dollar;NZD;554
COSTA RICA;Costa Rican Colon;CRC;188
CROATIA;Kuna;HRK;191
CUBA;Peso Convertible;CUC;931
CUBA;Cuban Peso;CUP;192
CURAÇAO;Netherlands Antillean Guilder;ANG;532
CYPRUS;Euro;EUR;978
CZECH REPUBLIC (THE);Czech Koruna;CZK;203
CÔTE D'IVOIRE;CFA Franc BCEAO;XOF;952
DENMARK;Danish Krone;DKK;208
DJIBOUTI;Djibouti Franc;DJF;262
DOMINICA;East Caribbean Dollar;XCD;951
DOMINICAN REPUBLIC (THE);Dominican Peso;DOP;214
ECUADOR;US Dollar;USD;840
EGYPT;Egyptian Pound;EGP;818
EL SALVADOR;El Salvador Colon;SVC;222
EL SALVADOR;US Dollar;USD;840
EQUATORIAL GUINEA;CFA Franc BEAC;XAF;950
ERITREA;Nakfa;ERN;232
ESTONIA;Euro;EUR;978
ETHIOPIA;Ethiopian Birr;ETB;230
EUROPEAN UNION;Euro;EUR;978
FALKLAND ISLANDS (THE) [MALVINAS];Falkland Islands Pound;FKP;238
FAROE ISLANDS (THE);Danish Krone;DKK;208
FIJI;Fiji Dollar;FJD;242
FINLAND;Euro;EUR;978
FRANCE;Euro;EUR;978
FRENCH GUIANA;Euro;EUR;978
FRENCH POLYNESIA;CFP Franc;XPF;953
FRENCH SOUTHERN TERRITORIES (THE);Euro;EUR;978
GABON;CFA Franc BEAC;XAF;950
GAMBIA (THE);Dalasi;GMD;270
GEORGIA;Lari;GEL;981
GERMANY;Euro;EUR;978
GHANA;Ghana Cedi;GHS;936
GIBRALTAR;Gibraltar Pound;GIP;292
GREECE;Euro;EUR;978
GREENLAND;Danish Krone;DKK;208
GRENADA;East Caribbean Dollar;XCD;951
GUADELOUPE;Euro;EUR;978
GUAM;US Dollar;USD;840
GUATEMALA;Quetzal;GTQ;320
GUERNSEY;Pound Sterling;GBP;826
GUINEA;Guinea Franc;GNF;324
GUINEA-BISSAU;CFA Franc BCEAO;XOF;952
GUYANA;Guyana Dollar;GYD;328
HAITI;Gourde;HTG;332
HAITI;US Dollar;USD;840
HEARD ISLAND AND McDONALD ISLANDS;Australian Dollar;AUD;036
HOLY SEE (THE);Euro;EUR;978
HONDURAS;Lempira;HNL;340
HONG KONG;Hong Kong Dollar;HKD;344
HUNGARY;Forint;HUF;348
ICELAND;Iceland Krona;ISK;352
INDIA;Indian Rupee;INR;356
INDONESIA;Rupiah;IDR;360
INTERNATIONAL MONETARY FUND (IMF) ;SDR (Special Drawing Right);XDR;960
IRAN (ISLAMIC REPUBLIC OF);Iranian Rial;IRR;364
IRAQ;Iraqi Dinar;IQD;368
IRELAND;Euro;EUR;978
ISLE OF MAN;Pound Sterling;GBP;826
ISRAEL;New Israeli Sheqel;ILS;376
ITALY;Euro;EUR;978
JAMAICA;Jamaican Dollar;JMD;388
JAPAN;Yen;JPY;392
JERSEY;Pound Sterling;GBP;826
JORDAN;Jordanian Dinar;JOD;400
KAZAKHSTAN;Tenge;KZT;398
KENYA;Kenyan Shilling;KES;404
KIRIBATI;Australian Dollar;AUD;036
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF);North Korean Won;KPW;408
KOREA (THE REPUBLIC OF);Won;KRW;410
KUWAIT;Kuwaiti Dinar;KWD;414
KYRGYZSTAN;Som;KGS;417
